"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4817","TC3: Login with an incorrect email and password is rejected","tests","Tue Jul 14 16:45:42 UTC 2026","passed","Tue Jul 14 16:45:47 UTC 2026","","test_tc03_login_invalid","",""
"","10300","TC20: Search products, add to cart, and verify the cart survives login","tests","Tue Jul 14 16:46:35 UTC 2026","passed","Tue Jul 14 16:46:45 UTC 2026","","test_tc20_search_products_verify_cart_after_login","",""
"","5015","TC18: Browse products via the Women and Men category sidebar","tests","Tue Jul 14 16:46:36 UTC 2026","passed","Tue Jul 14 16:46:41 UTC 2026","","test_tc18_view_category_products","",""
"","22070","TC15: Register first, then place an order","tests","Tue Jul 14 16:47:27 UTC 2026","passed","Tue Jul 14 16:47:49 UTC 2026","","test_tc15_place_order_register_before_checkout","",""
"","23186","TC14: Place an order, registering during the checkout flow","tests","Tue Jul 14 16:47:26 UTC 2026","passed","Tue Jul 14 16:47:50 UTC 2026","","test_tc14_place_order_register_while_checkout","",""
"","5816","TC6: Submit the Contact Us form with a file attachment","tests","Tue Jul 14 16:45:57 UTC 2026","passed","Tue Jul 14 16:46:03 UTC 2026","","test_tc06_contact_us_form","",""
"","2502","TC26: Scroll to the bottom, then back up without the arrow button","tests","Tue Jul 14 16:48:13 UTC 2026","passed","Tue Jul 14 16:48:16 UTC 2026","","test_tc26_scroll_up_without_arrow_button","",""
"","3458","TC26: Scroll to the bottom, then back up without the arrow button","tests","Tue Jul 14 16:46:42 UTC 2026","passed","Tue Jul 14 16:46:45 UTC 2026","","test_tc26_scroll_up_without_arrow_button","",""
"","15147","TC24: Download the invoice after placing an order","tests","Tue Jul 14 16:46:40 UTC 2026","passed","Tue Jul 14 16:46:55 UTC 2026","","test_tc24_download_invoice_after_purchase","",""
"","7191","TC22: Add a recommended item to the cart from the home page","tests","Tue Jul 14 16:48:05 UTC 2026","passed","Tue Jul 14 16:48:12 UTC 2026","","test_tc22_add_to_cart_from_recommended","",""
"","4081","TC21: Submit a review on a product","tests","Tue Jul 14 16:46:32 UTC 2026","passed","Tue Jul 14 16:46:36 UTC 2026","","test_tc21_add_review_on_product","",""
"","9519","TC16: Log in first, then place an order","tests","Tue Jul 14 16:46:46 UTC 2026","passed","Tue Jul 14 16:46:56 UTC 2026","","test_tc16_place_order_login_before_checkout","",""
"","4751","TC8: Browse All Products and open the first product's detail page","tests","Tue Jul 14 16:45:48 UTC 2026","passed","Tue Jul 14 16:45:53 UTC 2026","","test_tc08_all_products_and_detail","",""
"","3468","TC10: Subscribe to the newsletter from the home page footer","tests","Tue Jul 14 16:45:53 UTC 2026","passed","Tue Jul 14 16:45:56 UTC 2026","","test_tc10_subscription_home_page","",""
"","12559","TC1: Register a new user end to end and delete the account","tests","Tue Jul 14 16:45:40 UTC 2026","passed","Tue Jul 14 16:45:53 UTC 2026","","test_tc01_register_user","",""
"","3632","TC5: Registering with an already-used email is rejected","tests","Tue Jul 14 16:47:16 UTC 2026","passed","Tue Jul 14 16:47:20 UTC 2026","","test_tc05_register_existing_email","",""
"","13634","TC1: Register a new user end to end and delete the account","tests","Tue Jul 14 16:45:43 UTC 2026","passed","Tue Jul 14 16:45:56 UTC 2026","","test_tc01_register_user","",""
"","2542","TC26: Scroll to the bottom, then back up without the arrow button","tests","Tue Jul 14 16:46:32 UTC 2026","passed","Tue Jul 14 16:46:34 UTC 2026","","test_tc26_scroll_up_without_arrow_button","",""
"","4113","TC21: Submit a review on a product","tests","Tue Jul 14 16:47:44 UTC 2026","passed","Tue Jul 14 16:47:48 UTC 2026","","test_tc21_add_review_on_product","",""
"","5355","TC12: Add two products to the cart and verify price, quantity and total","tests","Tue Jul 14 16:45:56 UTC 2026","passed","Tue Jul 14 16:46:01 UTC 2026","","test_tc12_add_products_in_cart","",""
"","5616","TC6: Submit the Contact Us form with a file attachment","tests","Tue Jul 14 16:47:20 UTC 2026","passed","Tue Jul 14 16:47:26 UTC 2026","","test_tc06_contact_us_form","",""
"","8039","TC20: Search products, add to cart, and verify the cart survives login","tests","Tue Jul 14 16:46:24 UTC 2026","passed","Tue Jul 14 16:46:32 UTC 2026","","test_tc20_search_products_verify_cart_after_login","",""
"","4361","TC8: Browse All Products and open the first product's detail page","tests","Tue Jul 14 16:45:43 UTC 2026","passed","Tue Jul 14 16:45:48 UTC 2026","","test_tc08_all_products_and_detail","",""
"","15281","TC24: Download the invoice after placing an order","tests","Tue Jul 14 16:48:07 UTC 2026","passed","Tue Jul 14 16:48:23 UTC 2026","","test_tc24_download_invoice_after_purchase","",""
"","4667","TC17: Remove a product from the cart","tests","Tue Jul 14 16:46:16 UTC 2026","passed","Tue Jul 14 16:46:20 UTC 2026","","test_tc17_remove_products_from_cart","",""
"","14773","TC24: Download the invoice after placing an order","tests","Tue Jul 14 16:46:51 UTC 2026","passed","Tue Jul 14 16:47:05 UTC 2026","","test_tc24_download_invoice_after_purchase","",""
